stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y,stateEstimate.roll_x,stateEstimate.roll_y,stateEstimate.pitch_x,stateEstimate.pitch_y,stateEstimate.yaw_x,stateEstimate.yaw_y
1021404.,0.0790,1021404.,0.2317,1021404.,0.0135,1021404.,0.0672,1021404.,-0.0584,1021404.,-0.8352
1021444.,0.0794,1021444.,0.2308,1021444.,0.0121,1021444.,0.0825,1021444.,-0.0819,1021444.,-0.8488
1021484.,0.0778,1021484.,0.2305,1021484.,0.0118,1021484.,0.0752,1021484.,-0.0348,1021484.,-0.8695
1021524.,0.0820,1021524.,0.2319,1021524.,0.0123,1021524.,0.0027,1021524.,-0.2194,1021524.,-0.8647
1021564.,0.0818,1021564.,0.2316,1021564.,0.0116,1021564.,0.049,1021564.,-0.16,1021564.,-0.8641
1021604.,0.0831,1021604.,0.2321,1021604.,0.0127,1021604.,0.0287,1021604.,-0.1929,1021604.,-0.8755
1021644.,0.0832,1021644.,0.2319,1021644.,0.0135,1021644.,0.0137,1021644.,-0.1263,1021644.,-0.914
1021684.,0.0813,1021684.,0.2313,1021684.,0.0129,1021684.,0.0827,1021684.,-0.0721,1021684.,-0.8481
1021724.,0.0812,1021724.,0.2316,1021724.,0.0124,1021724.,0.0699,1021724.,-0.0668,1021724.,-0.8646
1021764.,0.0807,1021764.,0.2313,1021764.,0.0132,1021764.,0.0327,1021764.,-0.0206,1021764.,-0.9420
1021804.,0.0811,1021804.,0.2302,1021804.,0.0135,1021804.,0.0920,1021804.,-0.0501,1021804.,-0.9053
1021844.,0.0821,1021844.,0.2307,1021844.,0.0128,1021844.,0.1125,1021844.,-0.0331,1021844.,-0.8631
1021884.,0.0827,1021884.,0.2315,1021884.,0.0118,1021884.,0.1169,1021884.,-0.0472,1021884.,-0.8215
1021924.,0.0825,1021924.,0.2324,1021924.,0.011,1021924.,0.0868,1021924.,-0.0504,1021924.,-0.8159
1021964.,0.081,1021964.,0.2329,1021964.,0.0118,1021964.,0.1287,1021964.,0.0198,1021964.,-0.7294
1022004.,0.0816,1022004.,0.2341,1022004.,0.0111,1022004.,0.0916,1022004.,-0.0329,1022004.,-0.7142
1022044.,0.0811,1022044.,0.2332,1022044.,0.0111,1022044.,0.0816,1022044.,0.0131,1022044.,-0.7616
1022084.,0.0819,1022084.,0.2324,1022084.,0.0107,1022084.,0.1272,1022084.,-0.0028,1022084.,-0.7595
1022124.,0.0827,1022124.,0.2331,1022124.,0.0122,1022124.,0.0802,1022124.,-0.0382,1022124.,-0.7614
1022164.,0.0820,1022164.,0.2318,1022164.,0.0124,1022164.,0.1343,1022164.,0.0173,1022164.,-0.765
1022204.,0.0814,1022204.,0.2328,1022204.,0.0125,1022204.,0.0579,1022204.,0.036,1022204.,-0.7874
